region_code,region_name,region_level,n_species,n_checklists,top_hotspot,hotspot_name
CA-ON-WT,Waterloo,subnational2,301,31178,L378811,Waterloo--Laurel Creek CA (general location)
CA-ON-PB,Peterborough,subnational2,299,58925,L1012548,Lakefield--Sewage Lagoons
CA-ON-WL,Wellington,subnational2,298,30703,L2422474,Guelph Lake CA (general location)
CA-ON-RR,Rainy River,subnational2,295,6931,L193765,Rainy River Birding Area (please use a more specific location)
CA-ON-NP,Nipissing,subnational2,294,29056,L280534,Algonquin Provincial Park
CA-ON-KR,Kenora,subnational2,293,12793,L1621546,Polar Bear Provincial Park--Burntpoint Creek research camp
CA-ON-YO,York,subnational2,289,14248,L444589,Holland Landing Sewage Lagoons
CA-ON-MU,Muskoka,subnational2,287,11872,L354755,Bracebridge Sewage Treatment Ponds
CA-ON-LG,Leeds and Grenville,subnational2,286,17964,L566934,Charleston Lake Provincial Park
CA-ON-SD,"Stormont, Dundas and Glengarry",subnational2,284,13223,L595771,Long Sault Parkway
CA-ON-PR,Prescott and Russell,subnational2,281,5854,L1889569,Russell Lagoons
CA-ON-GR,Grey,subnational2,275,6285,L1419074,Wiarton Sewage Lagoons
CA-ON-LN,Lanark,subnational2,274,8440,L2327732,Almonte Sewage Lagoons
CA-ON-MA,Manitoulin,subnational2,274,5319,L498911,Killarney Provincial Park
CA-ON-VI,Kawartha Lakes,subnational2,273,15445,L284448,Carden Alvar (general location)
CA-ON-HS,Hastings,subnational2,270,12462,L2176431,H. R. Frink Conservation Area and Outdoor Education Centre
CA-ON-PS,Parry Sound,subnational2,269,6992,L982675,Killbear Provincial Park
CA-ON-HU,Huron,subnational2,265,3590,L382124,Grand Bend Sewage Lagoons
CA-ON-TI,Timiskaming,subnational2,261,14680,L674853,Hilliardton Marsh
CA-ON-BN,Brant,subnational2,259,3784,L611276,Brantford--Brant Park CA
CA-ON-PT,Perth,subnational2,259,12199,L384170,Mitchell Sewage Lagoons (West Perth Wetlands)
